FISCAL_YEAR,PRODUCT,CONVEYANCE,ORIGIN,COUNT_OF_LINES,SUM_OF_MSRP,duty_rate,product_complexity,hts_chapter,country_seizure_history,country_avg_seizure_value,product_seizure_history,conveyance_seizure_history,declared_value_category,declared_line_category,complexity_multiplier,extremely_complex,very_complex,tariff_evasion_incentive,high_value_shipment,complex_shipment,is_china,is_hong_kong,is_vietnam,is_mexico,is_express,is_air_freight,is_vessel,high_duty_product,complex_product,is_clothing,is_electronics,is_jewelry,fiscal_year_trend,china_clothing,china_electronics,express_clothing,high_duty_express,significant_seizure,repeat_country,repeat_product,high_risk_seizure
2023,Clothing,Auto,People's Republic of Bangladesh,1,30,12.5,High,62,12,84575.33333333333,740,143,0,0,1.0,0,0,0.4292484005606433,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,1,0
2023,Clothing,Auto,People's Republic of China,16,15691,12.5,High,62,472,14582791.302966101,740,143,2,2,1.0,0,0,1.2076132884161803,0,0,1,0,0,0,0,0,0,1,1,1,0,0,4,1,0,0,0,0,1,1,1
2023,Clothing,Auto,Republic of Honduras,4,2064,12.5,High,62,24,18814.041666666668,740,143,1,0,1.0,0,0,0.9541106881743916,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,1,0
2023,Clothing,Auto,Republic of the Philippines,114,1310529,12.5,High,62,138,1315450.7536231885,740,143,4,4,4.0,1,1,7.042971096754762,1,1,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,1,1,1,1
2023,Clothing,Auto,United Mexican States,83,63019,12.5,High,62,170,261079.97647058824,740,143,3,4,3.32,0,1,4.586251077354175,1,1,0,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,0,0,1,1,1
2023,Clothing,Auto,United States of America,21,77226,12.5,High,62,197,300035.71065989847,740,143,3,2,1.0,0,0,1.4068130519750508,1,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,1,1,1
2023,Clothing,Auto,Unknown,16,30885,12.5,High,62,345,1934068.895652174,740,143,2,2,1.0,0,0,1.292257285722868,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,1,1,1
2023,Clothing,Commercial Air,Arab Republic of Egypt,46,289362,12.5,High,62,29,90317.24137931035,740,1047,4,3,1.84,0,0,2.892350563884465,1,1,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,1,0,1,1
2023,Clothing,Commercial Air,Dominican Republic,19,10551,12.5,High,62,103,334914.5048543689,740,1047,2,2,1.0,0,0,1.1580088367996437,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,0,1,1,1
2023,Clothing,Commercial Air,Federal Democratic Republic of Ethiopia,12,7860,12.5,High,62,13,15613.846153846154,740,1047,1,2,1.0,0,0,1.1212086379742197,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,0,0,1,0
2023,Clothing,Commercial Air,Federal Republic of Nigeria,69,190268,12.5,High,62,95,169082.52631578947,740,1047,4,4,2.76,0,1,4.193886978069316,1,1,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,1,0,1,1
2023,Clothing,Commercial Air,Federative Republic of Brazil,10,37690,12.5,High,62,26,30718.384615384617,740,1047,2,1,1.0,0,0,1.3171470772682343,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,0,0,1,0
2023,Clothing,Commercial Air,French Republic,12,7810,12.5,High,62,56,22283.285714285714,740,1047,1,2,1.0,0,0,1.1204110344512872,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,0,0,1,0
