FISCAL_YEAR,PRODUCT,CONVEYANCE,ORIGIN,COUNT_OF_LINES,SUM_OF_MSRP,duty_rate,product_complexity,hts_chapter,country_seizure_history,country_avg_seizure_value,product_seizure_history,conveyance_seizure_history,log_declared_value,line_count_log,line_complexity_score,line_risk_tier,complexity_bonus,declared_value_category,declared_line_category,tariff_evasion_incentive,high_value_shipment,complex_shipment,extremely_complex,very_complex,is_china,is_hong_kong,is_vietnam,is_mexico,is_express,is_air_freight,is_vessel,high_duty_product,complex_product,is_clothing,is_electronics,is_jewelry,fiscal_year_trend,china_clothing,china_electronics,express_clothing,high_duty_express,significant_seizure,repeat_country,repeat_product,high_risk_seizure
2023,Clothing,Auto,People's Republic of Bangladesh,1,30,12.5,High,62,12,84575.33333333333,740,143,3.4339872044851463,0.6931471805599453,1,0,0.0,0,0,0.4292484005606433,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,1,0
2023,Clothing,Auto,People's Republic of China,16,15691,12.5,High,62,472,14582791.302966101,740,143,9.660906307329443,2.833213344056216,4,2,0.9555114450274363,2,2,2.3615016066650587,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,4,1,0,0,0,0,1,1,1
2023,Clothing,Auto,Republic of Honduras,4,2064,12.5,High,62,24,18814.041666666668,740,143,7.632885505395133,1.6094379124341003,1,0,0.0,1,0,0.9541106881743916,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,0,1,0
2023,Clothing,Auto,Republic of the Philippines,114,1310529,12.5,High,62,138,1315450.7536231885,740,143,14.085942193509524,4.74493212836325,10,5,2.517696472610991,4,4,6.193758645938847,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,1,1,1,1
2023,Clothing,Auto,United Mexican States,83,63019,12.5,High,62,170,261079.97647058824,740,143,11.051207415311266,4.430816798843313,8,4,2.2300144001592104,3,4,4.461944886325204,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,0,0,1,1,1
2023,Clothing,Auto,United States of America,21,77226,12.5,High,62,197,300035.71065989847,740,143,11.254504415800406,3.091042453358316,4,2,1.1314021114911006,3,2,2.9984843094528624,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,1,1,1
2023,Clothing,Auto,Unknown,16,30885,12.5,High,62,345,1934068.895652174,740,143,10.338058285782946,2.833213344056216,4,2,0.9555114450274363,2,2,2.5270239121511584,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,0,0,0,1,1,1
2023,Clothing,Commercial Air,Arab Republic of Egypt,46,289362,12.5,High,62,29,90317.24137931035,740,1047,12.575437234280281,3.8501476017100584,6,3,1.7227665977411035,4,3,4.2799975566860144,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,1,0,1,1
2023,Clothing,Commercial Air,Dominican Republic,19,10551,12.5,High,62,103,334914.5048543689,740,1047,9.26407069439715,2.995732273553991,4,2,1.0647107369924282,2,2,2.390953278872337,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,0,1,1,1
2023,Clothing,Commercial Air,Federal Democratic Republic of Ethiopia,12,7860,12.5,High,62,13,15613.846153846154,740,1047,8.969669103793757,2.5649493574615367,4,2,0.7884573603642702,1,2,2.0052338410889914,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4,0,0,0,0,0,0,1,0
